Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-10-01,TATAMOTORS,EQ,267.55,268.0,276.2,268.0,274.45,274.7,273.08,9420145,257246451460000.0,88596,4221642,0.4482
2012-10-03,TATAMOTORS,EQ,274.7,275.0,276.0,270.2,273.0,273.5,273.1,9136919,249532785285000.0,70558,3772453,0.4129
2012-10-04,TATAMOTORS,EQ,273.5,275.25,279.0,273.15,273.35,274.3,276.46,7581304,209589127750000.0,72562,3202071,0.42240000000000005
2012-10-05,TATAMOTORS,EQ,274.3,276.5,282.5,219.45,281.5,280.55,278.7,17095335,476448461820000.0,114300,6820337,0.399
2012-10-08,TATAMOTORS,EQ,280.55,281.45,283.7,271.0,271.95,272.45,277.05,7590848,210301011560000.0,76338,2946526,0.3882
2012-10-09,TATAMOTORS,EQ,272.45,275.2,278.25,266.1,269.55,269.7,272.07,7864528,213970481820000.0,67584,2485039,0.316
2012-10-10,TATAMOTORS,EQ,269.7,267.1,273.0,266.6,267.8,267.45,269.62,7367679,198646215475000.0,61519,2491222,0.3381
2012-10-11,TATAMOTORS,EQ,267.45,268.7,274.9,265.2,274.4,273.8,270.49,7852281,212396684625000.0,68305,2518479,0.3207
2012-10-12,TATAMOTORS,EQ,273.8,273.8,274.35,269.9,271.3,271.25,272.38,7520471,204846028205000.0,85296,3809692,0.5065999999999999
2012-10-15,TATAMOTORS,EQ,271.25,270.65,271.25,266.2,269.1,269.4,268.91,4752062,127787038495000.0,56116,1781312,0.3749
2012-10-16,TATAMOTORS,EQ,269.4,265.0,265.95,261.2,262.9,262.3,263.9,9523954,251338871840000.0,100463,5124950,0.5381
2012-10-17,TATAMOTORS,EQ,262.3,265.0,267.7,261.0,264.6,264.9,264.04,7572668,199946488450000.0,72567,3676507,0.4855
2012-10-18,TATAMOTORS,EQ,264.9,266.0,271.8,266.0,270.35,270.25,269.24,6627970,178453132455000.0,78290,2975885,0.449
2012-10-19,TATAMOTORS,EQ,270.25,270.0,273.4,266.55,268.8,269.0,269.95,3928926,106063210560000.0,46305,975052,0.2482
2012-10-22,TATAMOTORS,EQ,269.0,267.5,268.7,264.6,267.9,267.05,266.57,4470904,119182885109999.98,38779,1763195,0.3944
2012-10-23,TATAMOTORS,EQ,267.05,266.0,267.15,263.1,264.5,264.6,264.98,3120635,82690636455000.0,40464,1328025,0.42560000000000003
2012-10-25,TATAMOTORS,EQ,264.6,264.6,265.55,260.25,262.0,261.25,262.02,7531977,197355113805000.0,86344,4969499,0.6598
2012-10-26,TATAMOTORS,EQ,261.25,260.4,264.2,259.1,261.6,261.5,261.89,3586484,93928020480000.0,58017,1199539,0.3345
2012-10-29,TATAMOTORS,EQ,261.5,262.1,264.35,254.2,256.05,256.75,258.25,4690571,121132414980000.0,57506,1800459,0.38380000000000003
2012-10-30,TATAMOTORS,EQ,256.75,257.15,257.75,245.0,247.3,247.65,249.28,9560952,238334535365000.0,83460,4211577,0.4405
2012-10-31,TATAMOTORS,EQ,247.65,248.0,255.3,247.75,254.5,254.75,252.03,9122998,229928901005000.03,93739,4592026,0.5033
2012-11-01,TATAMOTORS,EQ,254.75,257.0,269.55,257.0,266.05,267.45,264.69,10469697,277124352744999.97,112429,4016539,0.3836
2012-11-02,TATAMOTORS,EQ,267.45,272.0,272.0,265.1,270.35,270.05,268.47,11070892,297214726905000.0,138525,3467972,0.31329999999999997
2012-11-05,TATAMOTORS,EQ,270.05,270.0,274.7,266.55,269.1,269.8,270.49,7809272,211234319810000.0,118420,2742234,0.35119999999999996
2012-11-06,TATAMOTORS,EQ,269.8,269.0,272.45,265.1,266.9,266.95,267.87,9567826,256295895710000.0,98768,4115260,0.4301
2012-11-07,TATAMOTORS,EQ,266.95,266.8,273.35,266.55,268.5,269.35,270.16,9676685,261430147775000.0,113444,3686664,0.381
2012-11-08,TATAMOTORS,EQ,269.35,267.5,285.5,265.3,284.2,283.95,279.73,24412617,682882502630000.0,220726,7277488,0.2981
2012-11-09,TATAMOTORS,EQ,283.95,284.0,284.6,279.1,280.9,280.6,281.58,7187592,202384710735000.0,93257,2135731,0.29710000000000003
2012-11-12,TATAMOTORS,EQ,280.6,278.95,283.9,278.1,280.9,280.75,280.65,6932770,194564749840000.0,70187,2842349,0.41000000000000003
2012-11-13,TATAMOTORS,EQ,280.75,281.0,281.8,276.75,277.25,277.55,278.74,1145124,31919617064999.996,14377,390307,0.3408
2012-11-15,TATAMOTORS,EQ,277.55,273.0,274.8,269.8,272.5,272.25,271.99,13068896,355463060670000.0,136232,9054926,0.6929000000000001
2012-11-16,TATAMOTORS,EQ,272.25,273.0,274.3,263.0,263.3,265.0,268.62,7322124,196684157470000.0,84500,3881632,0.5301
2012-11-19,TATAMOTORS,EQ,265.0,265.25,267.15,262.0,264.25,264.1,264.55,6616959,175051124655000.0,82397,2802711,0.4236
2012-11-20,TATAMOTORS,EQ,264.1,268.05,270.35,261.7,266.55,266.1,266.08,6864096,182636930685000.0,69986,2571649,0.3747
2012-11-21,TATAMOTORS,EQ,266.1,266.9,268.0,264.0,264.5,265.5,265.83,5284700,140484143590000.02,78233,2477947,0.46890000000000004
2012-11-22,TATAMOTORS,EQ,265.5,264.25,268.4,257.4,258.1,258.75,261.95,7511823,196772786280000.0,92394,3285525,0.4374
2012-11-23,TATAMOTORS,EQ,258.75,256.0,261.85,256.0,261.3,260.5,259.12,8493777,220090985419999.97,103383,3068673,0.3613
2012-11-26,TATAMOTORS,EQ,260.5,262.0,267.2,261.75,263.0,263.2,264.09,7629670,201494514620000.0,76274,3937549,0.5161
2012-11-27,TATAMOTORS,EQ,263.2,264.35,267.9,263.75,266.5,266.65,265.98,8474246,225396504385000.0,86465,4632403,0.5466
2012-11-29,TATAMOTORS,EQ,266.65,268.0,279.7,267.6,278.55,278.45,277.4,20010181,555074641560000.06,163398,11833058,0.5914
2012-11-30,TATAMOTORS,EQ,278.45,278.0,284.0,271.95,274.8,273.45,275.08,70995059,1952961229009999.8,308217,50319677,0.7088
2012-12-03,TATAMOTORS,EQ,273.45,273.0,276.8,271.1,272.2,272.1,273.2,9636654,263269564125000.0,113683,4180116,0.4338
2012-12-04,TATAMOTORS,EQ,272.1,273.25,275.4,269.3,271.75,271.55,272.36,6715392,182901882550000.0,72839,2480999,0.3694
2012-12-05,TATAMOTORS,EQ,271.55,272.1,279.0,272.1,274.7,274.95,276.6,10577309,292572230830000.0,143174,5019151,0.47450000000000003
2012-12-06,TATAMOTORS,EQ,274.95,277.3,281.95,273.85,281.25,280.85,278.14,10561758,293767210070000.0,130251,4912779,0.4651
2012-12-07,TATAMOTORS,EQ,280.85,281.3,287.5,279.05,280.9,281.9,284.36,12808613,364221285410000.0,129846,3642376,0.28440000000000004
2012-12-10,TATAMOTORS,EQ,281.9,283.35,286.15,278.0,279.95,279.95,282.1,9514028,268387250530000.03,105529,4910244,0.5161
2012-12-11,TATAMOTORS,EQ,279.95,281.15,282.85,273.2,278.25,278.1,277.69,9015953,250363718594999.97,109282,3960702,0.4393
2012-12-12,TATAMOTORS,EQ,278.1,279.0,280.75,274.9,276.2,276.5,277.46,7634409,211824290055000.0,93319,3427654,0.449
2012-12-13,TATAMOTORS,EQ,276.5,282.2,290.35,281.35,287.7,287.9,287.14,19468012,559001122314999.94,197902,8354753,0.4292
2012-12-14,TATAMOTORS,EQ,287.9,287.5,294.2,284.65,292.0,292.1,291.35,12250874,356933745210000.0,118684,4416387,0.3605
2012-12-17,TATAMOTORS,EQ,292.1,292.9,295.8,291.1,293.55,294.05,294.02,8295975,243917349250000.0,116533,4219418,0.5086
2012-12-18,TATAMOTORS,EQ,294.05,296.8,300.45,294.0,298.0,298.35,298.02,14461367,430982316145000.0,127268,8106700,0.5606
2012-12-19,TATAMOTORS,EQ,298.35,300.0,308.6,299.5,307.8,307.75,305.66,11633303,355587026370000.0,119163,6589445,0.5664
2012-12-20,TATAMOTORS,EQ,307.75,307.8,309.2,302.5,303.1,304.9,306.23,8080630,247456190330000.03,79441,4404331,0.545
2012-12-21,TATAMOTORS,EQ,304.9,300.55,303.15,297.6,300.2,299.4,300.16,5434419,163117625200000.0,96487,2504403,0.4608
2012-12-24,TATAMOTORS,EQ,299.4,301.4,310.4,297.1,307.5,306.95,305.03,9826168,299730837800000.0,83412,3479426,0.35409999999999997
2012-12-26,TATAMOTORS,EQ,306.95,305.4,308.45,303.75,306.25,306.1,306.4,4828196,147935041170000.0,47860,1449151,0.30010000000000003
2012-12-27,TATAMOTORS,EQ,306.1,307.0,314.0,304.95,309.3,309.2,311.01,13097609,407343764995000.0,113606,5836425,0.44560000000000005
2012-12-28,TATAMOTORS,EQ,309.2,310.7,312.4,308.2,308.8,310.05,310.21,7580582,235158414260000.0,76496,3305111,0.436
2012-12-31,TATAMOTORS,EQ,310.05,309.5,313.8,309.5,313.0,312.65,312.35,3537951,110509550409999.98,43421,1338677,0.37840000000000007
2013-01-01,TATAMOTORS,EQ,312.65,316.0,318.3,314.5,316.6,316.75,316.3,3938243,124565034965000.02,42424,1230541,0.3125
2013-01-02,TATAMOTORS,EQ,316.75,318.5,320.95,316.25,317.5,318.0,318.12,6855751,218094639550000.0,79764,3036414,0.4429
2013-01-03,TATAMOTORS,EQ,318.0,320.0,321.75,317.15,318.0,318.1,319.06,6099593,194611101075000.0,72994,3073688,0.5039
2013-01-04,TATAMOTORS,EQ,318.1,318.5,318.5,313.2,315.15,315.4,314.95,8870505,279380080660000.0,79215,5373055,0.6057
2013-01-07,TATAMOTORS,EQ,315.4,317.8,318.6,312.6,313.35,313.25,315.4,4890565,154250268085000.0,68295,2723322,0.5569
2013-01-08,TATAMOTORS,EQ,313.25,314.0,316.35,313.15,314.0,314.15,314.39,7226826,227206817019999.97,69227,4901809,0.6783
2013-01-09,TATAMOTORS,EQ,314.15,319.0,330.35,318.95,327.0,327.35,327.2,16501960,539943059025000.0,228832,7394859,0.44810000000000005
2013-01-10,TATAMOTORS,EQ,327.35,331.5,337.4,330.65,333.8,333.7,334.26,12617893,421768910005000.0,147141,6549532,0.5191
2013-01-11,TATAMOTORS,EQ,333.7,334.85,336.15,326.8,329.9,330.4,331.3,7289572,241499929310000.0,80181,3420443,0.4692
2013-01-14,TATAMOTORS,EQ,330.4,331.25,332.95,326.85,328.0,327.7,328.73,7133538,234503381394999.97,74927,4473531,0.6271
2013-01-15,TATAMOTORS,EQ,327.7,329.9,333.65,327.9,332.95,331.55,331.48,6718125,222695029265000.0,81059,3789330,0.564
2013-01-16,TATAMOTORS,EQ,331.55,329.5,329.9,318.5,320.15,320.05,323.07,12610453,407410517980000.0,108724,7228559,0.5732
2013-01-17,TATAMOTORS,EQ,320.05,324.1,331.25,324.1,328.85,328.95,328.21,9952219,326639947425000.0,102729,5912270,0.5941
2013-01-18,TATAMOTORS,EQ,328.95,330.1,332.4,326.0,329.55,328.55,328.93,4962072,163219058065000.0,73809,2356124,0.4748
2013-01-21,TATAMOTORS,EQ,328.55,329.1,330.0,322.25,323.95,323.25,324.27,3868407,125441533380000.0,66396,2154799,0.557
