Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-10-01,WIPRO,EQ,381.05,379.0,386.4,377.5,384.3,382.7,382.83,1358933,52023657575000.0,15222,1015412,0.7472
2012-10-03,WIPRO,EQ,382.7,384.25,387.25,379.2,380.4,380.25,382.12,2132629,81491068400000.0,24785,1820725,0.8537
2012-10-04,WIPRO,EQ,380.25,382.0,385.0,378.55,383.5,382.9,382.21,1427363,54555135815000.0,17683,1037133,0.7266
2012-10-05,WIPRO,EQ,382.9,383.55,384.6,320.5,373.0,373.25,371.85,1934963,71951865695000.0,20303,739766,0.3823
2012-10-08,WIPRO,EQ,373.25,372.0,372.9,363.75,364.7,365.4,366.35,961564,35227125045000.0,21459,544630,0.5664
2012-10-09,WIPRO,EQ,365.4,367.0,368.3,360.45,367.9,367.15,364.62,1091336,39792296285000.0,27048,649232,0.5949
2012-10-10,WIPRO,EQ,367.15,364.85,365.9,360.0,361.55,360.85,362.44,1533854,55593148425000.0,20718,1216792,0.7933
2012-10-11,WIPRO,EQ,360.85,362.0,364.5,357.55,359.5,358.25,359.65,2960796,106485077270000.0,26657,2543993,0.8592000000000001
2012-10-12,WIPRO,EQ,358.25,355.0,355.9,349.05,349.95,352.05,353.13,2587754,91381200305000.0,63309,1849547,0.7147
2012-10-15,WIPRO,EQ,352.05,351.0,353.65,350.75,352.3,351.9,352.03,596360,20993508265000.0,12941,381769,0.6402
2012-10-16,WIPRO,EQ,351.9,353.1,357.4,351.0,351.6,352.3,353.7,740770,26201275875000.0,13603,467448,0.631
2012-10-17,WIPRO,EQ,352.3,353.55,355.5,349.75,351.05,352.05,353.36,1059427,37436033395000.0,12380,877943,0.8287000000000001
2012-10-18,WIPRO,EQ,352.05,352.4,352.7,344.6,345.3,346.1,349.46,2186208,76398504210000.0,23152,1798852,0.8228
2012-10-19,WIPRO,EQ,346.1,347.6,349.5,343.0,345.0,344.55,346.56,1435923,49763918835000.0,19453,1037900,0.7228
2012-10-22,WIPRO,EQ,344.55,347.0,347.45,341.8,343.7,343.6,344.22,1046385,36018899715000.0,20081,747747,0.7145999999999999
2012-10-23,WIPRO,EQ,343.6,342.05,345.0,341.1,342.0,342.9,343.27,1117525,38361381975000.0,25546,802003,0.7177
2012-10-25,WIPRO,EQ,342.9,344.5,348.1,339.2,340.0,340.1,342.21,3806183,130250558950000.0,44977,3250259,0.8539
2012-10-26,WIPRO,EQ,340.1,339.8,340.1,334.4,335.8,336.05,336.05,1606370,53982572675000.0,19531,1261188,0.7851
2012-10-29,WIPRO,EQ,336.05,340.0,345.95,338.0,344.6,344.85,344.13,1788651,61552385654999.99,30767,1214267,0.6789000000000001
2012-10-30,WIPRO,EQ,344.85,345.25,349.05,341.55,346.7,347.55,346.37,2785417,96479070730000.0,38676,1914956,0.6875
2012-10-31,WIPRO,EQ,347.55,348.1,355.25,348.1,349.7,350.65,352.4,1965690,69270094129999.99,36319,1117355,0.5684
2012-11-01,WIPRO,EQ,350.65,348.0,366.0,348.0,360.25,361.25,361.62,6803137,246012740815000.0,66552,4229270,0.6217
2012-11-02,WIPRO,EQ,361.25,370.0,372.95,358.3,362.45,364.6,365.91,5104438,186777480145000.0,72277,2041275,0.39990000000000003
2012-11-05,WIPRO,EQ,364.6,364.95,367.5,360.45,362.45,362.5,363.28,863131,31356092080000.0,17438,396491,0.4594
2012-11-06,WIPRO,EQ,362.5,362.5,367.35,360.0,365.7,366.0,364.74,1245014,45410127600000.0,20434,731340,0.5874
